A,B,a,b,y,z,w,x,AS,BS,deltaA,deltaB,FER,Bratio
10,11,3.125,3.119,1.295,0.661,3.593,2.626,intermediate,intermediate,5.94461452824938,9.13137852246763,1.39643254626435,0.83012532022433
14,18,1.534,2.603,1.389,1.982,2.313,3.127,intermediate,Over-defense,11.8495460440986,0,0,0
10,16,2.262,2.497,0.873,1.877,3.55,2.869,intermediate,Over-defense,8.79492957746479,0,0,0
10,14,2.656,3.683,0.896,0.77,2.654,2.051,Over-destroyed,intermediate,10,7.69380789858606,0.549557707041861,0.549557707041861
12,13,3.202,3.108,0.714,1.234,3.886,2.881,intermediate,intermediate,8.19248584662892,7.76883026726831,0.875342121215595,0.597602328251408
10,18,3.665,3.178,0.981,1.595,3.828,2.125,Over-destroyed,intermediate,10,3.73647058823529,0.207581699346405,0.207581699346405
9,16,3.853,2.016,1.577,0.703,3.147,3.288,intermediate,intermediate,5.73975214489991,7.12560827250608,0.698314936272317,0.44535051703163
16,9,2.368,2.656,0.914,1.187,2.916,3.937,intermediate,intermediate,3.18244170096022,6.91008382016764,3.8601157891971,0.767787091129738
10,18,1.569,3.29,0.893,1.216,2.943,3.675,Over-destroyed,Over-defense,10,0,0,0
13,14,3.671,1.616,1.155,0.629,2.235,2.039,intermediate,Over-destroyed,3.40447427293065,14,3.81850440268104,1
18,9,1.129,1.247,1.375,1.228,3.926,3.311,Over-defense,intermediate,0,2.79975838115373,Inf,0.311084264572637
9,16,1.335,3.877,0.799,0.576,3.62,2.838,Over-destroyed,intermediate,9,0.986257928118394,0.0616411205073996,0.0616411205073996
11,12,2.28,3.249,0.902,1.965,3.843,3.593,intermediate,intermediate,7.56336195680458,0.417478430281101,0.0505976790845919,0.0347898691900918
11,15,2.667,1.693,1.985,0.676,2.963,2.384,intermediate,intermediate,1.20148498143773,8.05243288590604,4.91484915824599,0.536828859060403
17,15,2.526,2.779,1.671,1.739,2.697,2.646,intermediate,intermediate,4.92324805339266,6.37074829931973,1.46654836961144,0.424716553287982
13,11,3.806,1.429,1.809,1.034,2.845,3.628,Over-defense,intermediate,0,10.502756339581,Inf,0.954796030871003
10,9,2.092,2.01,0.876,1.489,3.041,2.094,intermediate,intermediate,3.0680697139099,3.59073543457498,1.30039614821276,0.398970603841664
16,18,3.084,3.63,1.542,1.615,2.462,2.834,Over-destroyed,intermediate,16,7.15384615384615,0.397435897435897,0.397435897435897
13,18,3.912,1.757,1.536,1.56,2.818,3.652,intermediate,intermediate,4.13697657913414,6.23658269441402,1.08876579948516,0.346476816356334
16,14,1.951,1.053,0.926,1.979,2.067,3.057,Over-defense,intermediate,0,1.14818449460255,Inf,0.0820131781858965
9,16,1.875,1.705,1.24,1.011,3.812,2.368,intermediate,intermediate,4.22875131164743,0.295185810810812,0.0392650232525485,0.0184491131756757
16,13,3.795,1.581,1.463,1.58,3.182,2.196,Over-defense,Over-destroyed,0,13,Inf,1
11,10,1.558,1.834,1.254,1.395,2.121,2.067,intermediate,intermediate,2.14332861857614,1.54233188195452,0.791556206288628,0.154233188195452
17,17,3.431,1.176,1.662,1.486,3.46,2.748,Over-defense,intermediate,0,12.0323871906841,Inf,0.707787481804949
10,10,3.401,1.47,1.938,1.122,2.579,3.898,Over-defense,intermediate,0,5.846587993843,Inf,0.5846587993843
15,14,2.703,3.836,1.369,1.718,3.17,3.832,intermediate,intermediate,10.4634069400631,4.30401878914405,0.44072152875921,0.307429913510289
15,17,3.589,3.067,0.685,1.337,2.693,3.577,Over-destroyed,intermediate,15,8.69611406206318,0.511536121297834,0.511536121297834
13,9,3.8,1.828,0.521,0.623,3.515,2.693,intermediate,Over-destroyed,2.75362731152205,9,4.72104556255811,1
14,9,1.804,3.536,0.614,1.102,3.793,3.941,intermediate,intermediate,6.1239124703401,3.89190560771378,0.988596002816606,0.432433956412642
12,10,2.75,1.476,1.064,1.266,3.663,3.663,intermediate,intermediate,0.543816543816544,5.55282555282555,12.2530120481928,0.555282555282555
17,14,3.225,3.272,0.573,1.88,3.112,3.965,intermediate,intermediate,11.5896529562982,7.1891551071879,0.753231212130338,0.51351107908485
15,18,2.221,3.806,1.061,1.492,3.726,3.123,intermediate,intermediate,14.1151368760064,2.06820365033621,0.122103175979578,0.114900202796456
10,17,1.147,1.423,0.656,0.532,3.824,3.178,intermediate,intermediate,4.61061715481172,0.763373190685966,0.0973932639095955,0.0449043053344686
12,13,3.19,2.973,1.853,0.973,2.642,3.691,intermediate,intermediate,6.21233913701741,6.94418856678407,1.03182071585527,0.534168351291082
14,9,3.26,3.09,1.877,1.894,3.057,3.397,intermediate,intermediate,0.501144913313706,8.41742714159553,26.1277231510013,0.935269682399503
15,16,3.577,3.431,1.797,0.893,3.029,2.583,intermediate,intermediate,9.22449653350941,15.2408052651955,1.54894685950789,0.952550329074719
10,16,2.374,3.941,0.638,1.795,3.303,2.982,Over-destroyed,Over-defense,10,0,0,0
17,13,1.898,1.117,0.629,1.181,2.29,2.618,intermediate,intermediate,1.67161572052402,6.46027501909855,5.05382417999973,0.49694423223835
16,13,1.975,1.869,0.664,0.817,3.135,2.564,intermediate,intermediate,4.36140350877193,8.18213728549142,2.3089637986163,0.629395175807032
15,17,3.759,2.838,1.979,0.544,3.249,3.002,intermediate,intermediate,5.71283471837488,15.7018654230513,2.42516855833834,0.923639142532429
18,12,2.785,2.661,1.005,1.158,2.728,3.096,intermediate,intermediate,5.07404692082112,11.703488372093,3.45980887289443,0.975290697674419
15,12,1.564,2.45,1.9,1.155,3.507,2.513,intermediate,intermediate,0.256629597946964,3.82013529645842,18.6072423398328,0.318344608038201
9,9,2.832,1.904,0.55,0.565,2.474,2.223,intermediate,Over-destroyed,4.92562651576394,9,1.82717872968981,1
9,15,3.231,3.483,1.977,1.977,3.483,2.247,Over-destroyed,Over-defense,9,0,0,0
17,18,2.027,2.926,1.439,1.891,3.166,2.912,intermediate,intermediate,8.90871762476311,0.144574175824178,0.0153268161500304,0.00803189865689878
10,16,2.039,1.793,1.53,1.677,2.528,3.292,intermediate,Over-defense,5.29588607594937,0,0,0
10,9,2.115,1.323,1.615,1.727,2.458,2.759,Over-defense,intermediate,0,2.03225806451613,Inf,0.225806451612903
18,13,3.83,3.654,1.906,0.967,2.755,2.149,intermediate,Over-destroyed,4.78911070780399,13,3.75852660300137,1
14,12,2.65,1.235,0.559,0.506,3.068,2.536,intermediate,Over-destroyed,2.27966101694915,12,6.14126394052045,1
12,16,2.421,3.084,1.592,1.853,3.84,2.262,intermediate,Over-defense,7.875,0,0,0
16,17,2.614,1.892,1.146,0.691,3.139,3.656,intermediate,intermediate,4.40522459381969,8.22675054704595,1.75764569532762,0.483926502767409
12,16,1.658,1.546,1.727,1.319,2.031,3.092,intermediate,Over-defense,1.9753815854259,0,0,0
13,13,1.751,1.311,0.518,1.128,3.065,3.933,intermediate,intermediate,3.36345840130506,2.05924230867023,0.612239565047458,0.158403254513094
13,10,2.55,3.143,0.993,0.961,2.301,3.245,intermediate,intermediate,8.04910908300739,7.25423728813559,1.17162140273203,0.725423728813559
15,9,2.051,2.644,0.984,0.603,2,2.54,intermediate,Over-destroyed,4.518,9,3.32005312084993,1
12,12,3.994,2.867,1.119,1.971,3.053,2.454,intermediate,intermediate,6.87061906321651,9.89242053789731,1.43981502203473,0.824368378158109
17,14,3.736,3.789,0.723,0.5,2.168,3.64,Over-destroyed,Over-destroyed,17,14,1,1
17,12,1.687,2.233,0.87,1.997,3.468,3.726,intermediate,intermediate,3.46193771626298,1.26543209876543,0.517830076731182,0.105452674897119
13,14,2.92,2.597,0.788,1.087,2.861,3.746,intermediate,intermediate,9.12757777001048,6.0710090763481,0.617619012726111,0.433643505453436
11,17,2.362,1.258,1.695,1.524,3.382,2.74,intermediate,intermediate,0.810467179183915,0.0270072992700723,0.021562022178364,0.00158866466294543
18,17,2.157,3.495,0.779,1.627,3.718,2.571,intermediate,intermediate,12.2089833243679,4.34344612991054,0.376685170165046,0.255496831171208
15,15,3.266,3.072,1.921,1.328,3.413,2.795,intermediate,intermediate,5.05859947260475,10.4007155635063,2.05604646500127,0.693381037567084
14,15,2.996,3.425,1.357,1.712,3.914,2.352,intermediate,intermediate,8.27210015329586,6.91496598639456,0.780209152979947,0.460997732426304
16,17,2.438,1.387,1.298,0.867,3.159,3.346,intermediate,intermediate,0.889838556505223,7.25313807531381,7.67159710546092,0.426655180900812
14,14,1.816,2.967,1.504,1.886,3.061,3.859,intermediate,Over-defense,6.69127736033976,0,0,0
12,9,2.403,1.91,1.642,1.621,3.088,3.742,Over-defense,intermediate,0,3.80732228754677,Inf,0.423035809727418
14,15,1.523,1.276,0.623,1.061,2.477,2.227,intermediate,intermediate,4.20589422688736,2.4279299506062,0.538783866558659,0.16186199670708
13,18,1.986,3.718,1.789,1.686,3.957,2.873,intermediate,Over-defense,11.0353803386404,0,0,0
17,16,1.646,3.489,0.512,0.794,2.892,3.573,intermediate,intermediate,16.2932226832642,4.27595857822558,0.278840231775099,0.267247411139099
9,15,2.468,2.092,1.114,1.557,3.577,2.063,intermediate,Over-defense,5.96980710092256,0,0,0
14,17,1.429,3.254,1.862,0.614,2.243,2.419,intermediate,intermediate,13.0405706642889,3.9553534518396,0.249785840311045,0.232667850108212
16,10,2.491,2.104,1.698,0.764,3.002,2.924,Over-defense,Over-destroyed,0,10,Inf,1
9,13,1.722,2.286,1.753,0.835,2.38,2.81,intermediate,intermediate,5.85756302521008,1.65231316725979,0.195287547205556,0.127101012866137
16,12,3.906,2.949,1.648,1.454,2.708,2.372,intermediate,Over-destroyed,3.33087149187592,12,4.80354767184035,1
17,12,1.012,2.386,1.792,1.172,2.035,3.89,Over-defense,intermediate,0,0.80719794344473,Inf,0.0672664952870608
10,9,1.652,2.82,1.812,1.249,2.36,3.585,intermediate,intermediate,3.07627118644068,1.47252440725244,0.531857606537459,0.163613823028049
17,15,3.301,2.714,1.225,1.055,2.027,3.793,intermediate,intermediate,9.81006413418845,10.6227260743475,1.22721823081365,0.708181738289832
18,15,2.239,2.022,0.794,0.579,2.333,2.877,intermediate,intermediate,6.87441063009001,10.9895724713243,1.91834437527868,0.732638164754953
18,10,1.517,2.444,1.269,1.533,2.344,2.771,intermediate,intermediate,0.681740614334471,4.32190544929628,11.41112858052,0.432190544929628
17,12,1.023,3.918,1.683,0.659,3.832,3.542,intermediate,intermediate,4.80297494780793,2.67730095990965,0.789686198190503,0.223108413325805
15,14,1.681,1.094,1.745,0.899,3.855,2.935,Over-defense,intermediate,0,4.30289608177172,Inf,0.307349720126551
17,14,3.888,3.278,1.483,0.697,3.898,2.317,intermediate,Over-destroyed,5.30554130323243,14,3.20419708911561,1
14,17,2.045,2.826,1.131,0.97,2.998,2.928,intermediate,intermediate,10.743162108072,4.14617486338798,0.317829789029617,0.243892639022822
15,11,2.72,2.068,1.651,1.014,3.538,3.879,Over-defense,intermediate,0,7.64269141531323,Inf,0.694790128664839
12,18,2.802,3.935,1.46,0.726,3.738,3.98,Over-destroyed,intermediate,12,5.16482412060302,0.286934673366834,0.286934673366834
16,17,3.642,3.243,1.495,1.225,3.652,2.505,intermediate,intermediate,8.54627601314348,14.9489021956088,1.64627903264462,0.879347187976987
17,14,1.094,2.691,1.927,0.843,2.532,3.119,intermediate,intermediate,1.9411532385466,2.17890349470984,1.36301005705988,0.155635963907846
14,12,1.616,2.25,1.384,1.357,2.857,2.732,intermediate,intermediate,2.66853342667133,2.32064421669107,1.01457160916415,0.193387018057589
11,9,3.237,2.139,1.756,1.202,2.751,3.237,Over-defense,intermediate,0,7.65801668211307,Inf,0.850890742457008
13,15,1.229,1.969,1.475,0.905,3.581,3.906,intermediate,intermediate,2.89304663501815,0.614951356886841,0.184220273598154,0.0409967571257894
17,13,2.773,3.659,1.398,1.736,3.233,2.168,intermediate,intermediate,7.36189297865759,11.3344095940959,2.01333003364793,0.871877661084303
9,9,3.472,1.611,1.363,1.36,2.278,3.569,intermediate,intermediate,0.97980684811238,5.3258615858784,5.43562396623252,0.591762398430933
17,15,1.71,3.389,1.903,0.682,2.81,3.472,intermediate,intermediate,6.5779359430605,5.42626728110599,0.934908706695641,0.361751152073733
16,10,1.264,3.607,0.814,1.439,2.614,3.166,intermediate,intermediate,8.81637337413925,1.84270372710044,0.334414825489234,0.184270372710044
10,16,2.978,2.397,0.72,1.994,3.131,2.364,intermediate,Over-defense,9.94953688917279,0,0,0
16,12,3.131,1.634,1.918,1.645,3.871,3.006,Over-defense,intermediate,0,10.0984697272122,Inf,0.841539143934353
15,9,3.278,1.393,1.891,0.547,3.875,2.133,Over-defense,Over-destroyed,0,9,Inf,1
12,15,1.329,1.07,1.48,0.741,3.91,2.521,Over-defense,intermediate,0,1.9170963903213,Inf,0.12780642602142
17,10,3.618,2.245,1.111,1.636,3.8,2.908,intermediate,Over-destroyed,0.937631578947369,10,18.1307886612405,1
10,11,1.305,2.356,0.835,1.401,2.337,2.763,intermediate,Over-defense,7.51647411210954,0,0,0
18,18,3.072,1.405,1.431,1.83,2.74,2.45,Over-defense,intermediate,0,9.12489795918367,Inf,0.506938775510204
9,16,1.053,2.861,0.829,1.674,2.505,2.329,Over-destroyed,Over-defense,9,0,0,0
12,9,2.914,1.886,1.093,1.069,2.748,3.44,intermediate,intermediate,1.40393013100437,7.36831395348837,6.99779738869399,0.818701550387597
10,12,2.35,2.004,0.617,0.523,3.397,3.718,intermediate,intermediate,5.26287901089196,4.63259817105971,0.733533578844102,0.386049847588309
10,16,3.219,3.818,0.635,1.771,3.777,2.622,Over-destroyed,intermediate,10,1.4698703279939,0.0918668954996186,0.0918668954996186
9,15,3.372,1.963,0.626,1.542,2.321,2.286,Over-destroyed,intermediate,9,3.15748031496063,0.210498687664042,0.210498687664042
15,14,1.37,3.519,1.765,0.873,3.186,3.452,intermediate,intermediate,7.15348399246705,2.41251448435689,0.361339586451469,0.17232246316835
12,12,3.272,3.049,1.75,1.389,2.176,3.491,intermediate,intermediate,7.16360294117647,6.47264394156402,0.903545882527798,0.539386995130335
16,10,1.059,1.082,1.795,1.841,2.802,3.476,Over-defense,Over-defense,0,0,NA,0
10,17,2.098,1.346,1.257,1.73,2.564,3.033,intermediate,Over-defense,4.02184087363495,0,0,0
9,12,1.992,2.526,0.565,1.748,2.294,2.391,Over-destroyed,Over-defense,9,0,0,0
18,16,2.632,2.943,1.287,1.41,3.327,2.826,intermediate,intermediate,7.190261496844,8.78131634819533,1.37393902795551,0.548832271762208
11,9,1.886,3.419,0.841,1.369,2.978,2.501,intermediate,intermediate,7.22632639355272,3.36865253898441,0.569755885336902,0.374294726553823
15,14,1.211,3.008,1.988,1.067,3.299,2.865,intermediate,intermediate,3.72597756896029,1.12635253054101,0.323889841091895,0.080453752181501
14,10,3.166,1.241,1.169,1.897,2.137,3.765,Over-defense,intermediate,0,6.73413014608234,Inf,0.673413014608234
16,16,1.299,3.114,0.782,1.137,3.456,3.667,intermediate,intermediate,10.7962962962963,0.706844832287974,0.0654710479306185,0.0441778020179983
18,12,2.315,4,0.688,1.991,2.888,3.523,intermediate,intermediate,12.3324099722992,5.04626738575078,0.613781174614566,0.420522282145898
16,10,3.295,2.209,1.025,1.9,2.329,2.313,intermediate,Over-destroyed,2.44310863031344,10,6.54903339191564,1
18,17,1.352,1.587,1.348,1.031,3.425,2.043,intermediate,intermediate,0.792700729927006,3.33284385707293,4.45173488871296,0.196049638651349
9,10,1.593,2.174,1.028,0.667,2.932,2.325,intermediate,intermediate,4.25920873124147,3.29763440860215,0.696812754437809,0.329763440860215
17,18,1.123,2.855,0.796,1.932,2.012,2.697,Over-destroyed,Over-defense,17,0,0,0
9,13,1.258,3.841,1.95,1.16,3.405,2.305,Over-destroyed,Over-defense,9,0,0,0
18,16,3.319,3.325,1.116,0.632,2.274,3.264,intermediate,intermediate,14.561125769569,15.2052696078431,1.17476688131991,0.950329350490196
17,14,1.047,2.35,1.783,1.307,2.266,3.82,intermediate,Over-defense,1.14254192409532,0,0,0
16,11,2.121,2.438,1.046,1.293,2.806,2.857,intermediate,intermediate,3.59301496792587,6.89989499474974,2.79325607909942,0.627263181340885
9,17,3.483,3.266,1.61,1.105,2.454,2.849,Over-destroyed,intermediate,9,4.40926640926641,0.259368612309789,0.259368612309789
10,10,3.865,3.384,0.89,0.99,2.986,3.049,intermediate,intermediate,8.35231078365707,9.4293210888816,1.12894758506016,0.94293210888816
15,11,3.924,3.924,1.627,1.624,3.342,2.963,intermediate,Over-destroyed,5.61310592459605,11,2.6723172877019,1
9,17,2.474,1.493,1.613,1.61,3.648,3.374,intermediate,Over-defense,2.9780701754386,0,0,0
12,10,2.908,2.908,1.571,0.638,3.213,3.018,intermediate,intermediate,3.18331777155307,9.44864148442677,3.56180896630386,0.944864148442677
15,16,1.153,3.865,0.879,1.433,2.935,2.25,Over-destroyed,Over-defense,15,0,0,0
9,16,3.894,2.321,1.586,0.855,2.548,3.342,intermediate,intermediate,8.97252747252747,6.39317773788151,0.400797042814219,0.399573608617594
18,11,1.798,1.417,1.319,0.796,2.607,3.781,Over-defense,intermediate,0,6.24385083311293,Inf,0.567622803010267
9,9,3.935,2.92,1.413,1.583,3.98,3.053,intermediate,intermediate,3.40778894472362,6.93350802489355,2.03460605611416,0.770389780543728
10,12,2.456,2.785,1.181,1.46,2.489,3.429,intermediate,intermediate,8.68220168742467,2.05307669874599,0.197057994106847,0.171089724895499
10,12,1.423,2.344,1.466,1.944,2.153,3.808,intermediate,Over-defense,6.25545750116117,0,0,0
16,11,1.27,1.945,1.522,0.673,3.616,2.07,Over-defense,intermediate,0,6.24009661835749,Inf,0.567281510759772
16,18,2.973,1.411,0.958,1.081,2.047,2.579,intermediate,intermediate,4.91939423546654,10.8995734780923,1.96945178502967,0.605531859894016
11,12,2.209,1.84,1.278,1.695,2.634,3.335,intermediate,intermediate,3.04555808656037,1.18710644677661,0.357300986754192,0.0989255372313843
9,15,1.476,1.223,1.108,1.463,3.452,3.957,intermediate,Over-defense,2.42555040556199,0,0,0
11,13,2.691,2.955,0.529,1.724,3.53,3.679,intermediate,intermediate,9.23399433427762,1.95406360424028,0.179059935982353,0.15031258494156
10,10,3.548,3.307,1.014,1.53,2.423,3.566,intermediate,intermediate,9.46347503095336,5.65900168255749,0.59798347478573,0.565900168255749
16,17,2.591,1.992,1.665,1.166,3.569,3.35,intermediate,intermediate,2.02409638554217,6.4579104477612,3.00283791128392,0.379877085162423
10,17,2.949,1.364,1.888,0.914,2.391,2.708,intermediate,intermediate,1.80175658720201,5.15214180206795,1.68206497470431,0.303067164827526
11,16,2.967,2.885,1.122,1.477,2.215,3.331,Over-destroyed,intermediate,11,2.70339237466226,0.168962023416391,0.168962023416391
16,12,2.661,3.73,1.087,0.94,3.867,3.699,intermediate,intermediate,7.07732092061029,8.46066504460665,1.59394873465331,0.705055420383888
13,9,3.096,2.192,1.956,1.803,2.188,3.632,Over-defense,intermediate,0,6.61371145374449,Inf,0.734856828193833
18,10,1.376,3.636,1.56,0.72,2.325,3.045,intermediate,intermediate,3.56129032258064,5.76945812807882,2.91608481473549,0.576945812807882
11,14,3.489,3.665,1.084,1.797,3.675,3.977,intermediate,intermediate,10.7172789115646,3.3243650993211,0.243718687459749,0.237454649951507
18,9,2.849,3.571,1.337,1.574,2.677,2.611,intermediate,Over-destroyed,3.01568920433321,9,5.96878483835005,1
13,18,1.17,2.573,1.883,0.597,3.734,2.705,intermediate,intermediate,5.8476164970541,1.65027726432532,0.203820977953031,0.0916820702402958
13,13,3.812,2.744,1.031,1.205,2.196,3.068,intermediate,intermediate,10.1407103825137,11.0466101694915,1.0893329710451,0.84973924380704
15,16,1.159,2.614,0.923,0.926,2.865,3.624,intermediate,intermediate,9.76579406631762,0.708885209713024,0.0680518019930511,0.044305325607064
10,13,1.781,2.538,1.736,0.509,2.043,3.648,intermediate,intermediate,7.65247185511503,3.06825657894737,0.308422874739939,0.236019736842105
13,10,2.697,2.791,1.322,0.829,3.636,3.609,intermediate,intermediate,2.94939493949395,7.41784427819341,3.26955113149614,0.741784427819341
9,10,1.669,2.28,1.395,1.604,2.11,2.219,intermediate,Over-defense,4.85545023696682,0,0,0
17,15,3.648,2.204,1.777,0.735,2.106,2.36,intermediate,Over-destroyed,1.35375118708452,15,12.5576990529639,1
13,18,3.002,2.914,1.433,0.929,2.07,2.603,Over-destroyed,intermediate,13,8.56857472147522,0.476031928970846,0.476031928970846
9,18,2.761,3.19,1.815,1.093,3.988,3.041,Over-destroyed,intermediate,9,1.70174284774745,0.0945412693193029,0.0945412693193029
11,13,1.611,1.012,0.729,0.823,3.264,2.524,intermediate,intermediate,1.57383578431373,2.78209191759113,1.4957581978286,0.214007070583933
18,18,3.114,1.352,0.823,1.783,3.339,3.683,intermediate,intermediate,2.85175202156334,6.50502307901167,2.28106196816005,0.361390171056204
17,10,2.133,2.632,1.768,1.759,2.059,3.828,Over-defense,intermediate,0,4.87748171368861,Inf,0.487748171368861
15,15,2.673,1.64,1.897,0.987,2.673,2.266,Over-defense,intermediate,0,11.1606354810238,Inf,0.744042365401589
17,10,2.11,2.755,1.774,1.874,2.896,2.481,Over-defense,intermediate,0,6.90447400241838,Inf,0.690447400241838
16,10,1.276,3.566,1.351,1.809,2.403,3.198,intermediate,intermediate,5.84436121514773,0.727329580988118,0.199119679078832,0.0727329580988118
16,11,1.205,3.025,0.62,1.68,3.699,3.131,intermediate,intermediate,6.31386861313869,0.255509421909933,0.0588624963559194,0.0232281292645394
12,14,1.018,2.297,1.839,1.504,2.141,3.843,intermediate,Over-defense,4.71275105091079,0,0,0
14,9,2.01,3.524,1.994,0.559,2.376,3.875,intermediate,intermediate,1.5993265993266,5.9636129032258,5.80039823429541,0.662623655913978
17,14,1.235,1.575,0.808,1.184,3.108,2.344,intermediate,intermediate,2.67503217503217,1.88523890784983,0.855772388528417,0.134659921989274
13,14,3.712,1.505,1.715,1.815,2.517,2.117,Over-defense,intermediate,0,10.7916863486065,Inf,0.77083473918618
13,15,3.143,1.687,1.266,0.626,3.687,2.767,intermediate,intermediate,2.39951179820993,11.3729671123961,4.10774037650621,0.758197807493073
12,16,3.971,3.847,0.532,0.6,2.787,3.382,Over-destroyed,intermediate,12,11.2513305736251,0.703208160851567,0.703208160851567
12,17,1.006,1.499,1.624,0.984,2.967,3.022,intermediate,Over-defense,2.02055948769801,0,0,0
13,13,2.585,2.673,1.824,1.536,2.971,3.358,intermediate,intermediate,3.71491080444295,4.06104824300179,1.09317516806726,0.312388326384753
9,15,3.536,2.074,0.5,1.219,3.82,2.932,intermediate,intermediate,6.96596858638743,4.61766712141883,0.397733673141374,0.307844474761255
18,17,1.358,2.808,0.94,1.331,3.609,3.249,intermediate,intermediate,8.53865336658354,0.559248999692214,0.0693488743777213,0.0328969999818949
11,17,3.436,3.46,0.805,1.833,2.223,3.984,Over-destroyed,intermediate,11,1.66541164658635,0.0979653909756674,0.0979653909756674
9,14,1.317,2.186,1.454,0.62,3.014,2.775,intermediate,intermediate,5.8122096881221,1.14342342342342,0.126467893365941,0.0816731016731017
11,12,2.45,2.468,0.773,0.717,3.155,2.106,intermediate,intermediate,6.6919175911252,8.71130104463438,1.19328416439333,0.725941753719532
13,12,1.81,2.432,0.838,1.988,2.485,3.393,intermediate,Over-defense,7.36016096579477,0,0,0
